"","state","year","entered","entered.nkin","bent","went","cl","bcl","wcl","pl.pre.adopt","pl.foster.rel","pl.foster.non.rel","pl.grphome","pl.inst","pl.indliv","pl.awol","pl.trialvis","b.pl.pre.adopt","b.pl.foster.rel","b.pl.foster.non.rel","b.pl.grphome","b.pl.inst","b.pl.indliv","b.pl.awol","b.pl.trialvis","w.pl.pre.adopt","w.pl.foster.rel","w.pl.foster.non.rel","w.pl.grphome","w.pl.inst","w.pl.indliv","w.pl.awol","w.pl.trialvis","cg.reunify","cg.other.rel","cg.adopt","cg.long.fc","cg.emanc","cg.guard","cg.noplan","cg.na","b.cg.reunify","b.cg.other.rel","b.cg.adopt","b.cg.long.fc","b.cg.emanc","b.cg.guard","b.cg.noplan","b.cg.na","w.cg.reunify","w.cg.other.rel","w.cg.adopt","w.cg.long.fc","w.cg.emanc","w.cg.guard","w.cg.noplan","w.cg.na","prtjail","pop","whtpop","blkpop","child","blkchild","whtchild","adult","blkadult","whtadult","pov","childpov","blkpov","whtpov","blkchildpov","whtchildpov","unemp","whtunemp","blkunemp","emp","whtemp","blkemp","LessHS","wLessHS","bLessHS","kidskincare","wkidskincare","bkidskincare","kids2par","wkids2par","bkids2par","avgrent","incartot","new.incar","stname","police.ft.emp","police.tot.pay","welfare.ft.emp","welfare.tot.pay","cor.ft.emp","cor.tot.pay","edu.ft.emp","edu.tot.pay","drop","hosp.ft.emp","hosp.tot.pay","drop.1","tot.ft.emp","tot.tot.pay","statename","citi6010","inst6010_adacope","inst6010_nom","death.sent","death.pen","crime","food.insec","GSP","AFDCRec","SNAPRec","AFDCBen3","SNAPBen3","AFDCFS3Ben","Total.SSI","npoor","eitc.st","medicaidrec","WIC.par","NSLP.Total","SBP.Total","rpp"
"156",13,2003,10568,8910,5230,4651,34092,12497,9847,1090,4203,13756,1917,1245,0,179,1133,576,2195,7382,1087,642,0,93,522,465,1913,5539,762,553,0,76,539,16300,1689,3416,1174,892,53,0,0,8147,1135,1935,724,518,38,0,0,7197,513,1354,420,352,11,0,0,960,8308836.66666667,5198717,2324858.66666667,2267268.66666667,761779.333333333,1260666.33333333,6041568,1563079.33333333,3938050.66666667,1077237.33333333,420127.333333333,534350.666666667,418976.333333333,240280.333333333,127207.333333333,281661.333333333,128745,129741,3988610.66666667,2603075.66666667,1001412.66666667,0.16648016194633,0.137463400758374,0.202756733993757,227082.333333333,82189,123410.666666667,1387744,944608,275039.333333333,898.897001939398,47208,17575,"GA",19405,77122973.44,9676,31824380.76,26672,86488341.26,NA,NA,NA,NA,NA,"Total",444763,1724755842.34,"Georgia",35.81693,72.65987,74.16965,1,TRUE,397601,0.129,335136,133772,750208,341.6,446.52,646,552,1014,0,1262263,246296,1129503,410840,0.924333333333333
"157",15,2003,2349,1558,134,920,7349,264,1896,170,1710,2747,101,138,0,95,0,7,65,179,6,7,0,0,0,64,654,1054,31,52,0,33,0,3143,182,694,302,1,199,138,0,179,8,42,10,0,4,3,0,1267,48,259,105,1,49,45,0,70,1206345.66666667,275935,21242.3333333333,296744.333333333,6004.33333333333,50151,909601.333333333,15238,225784,128377.666666667,44515.6666666667,1648.33333333333,25525.3333333333,471.333333333333,4945.66666666667,37087.6666666667,7792,647.666666666667,580755,147086.666666667,11568,0.111575585422042,0.0475466925303583,0.0302790759367012,49432.3333333333,2869.66666666667,241,190597.666666667,36514.3333333333,4143.66666666667,1201.42477087803,5499,1853,"HI",2784,14971383.72,964,3880785.84,2400,10063177.32,NA,NA,NA,NA,NA,"Total",65553,291183234.04,"Hawaii",76.36703,90.625,88.99662,0,FALSE,69267,0.103,48566,25715,100382,695.4,679.54,1127,552,117,0,172664,32788,131954,37978,1.171
"158",16,2003,1292,1140,27,1004,3794,51,1920,188,307,1426,199,181,2,19,180,3,8,28,3,4,0,0,5,144,242,1065,162,140,1,12,154,1056,46,264,138,24,77,889,0,27,1,3,4,0,4,12,0,799,39,197,102,21,54,701,0,2,1310325.66666667,1146883.33333333,5966.33333333333,368672.333333333,2445,307812.666666667,941653.333333333,3521.33333333333,839070.666666667,175111,61064.6666666667,2153.33333333333,130931.666666667,885.666666666667,41935.6666666667,44786.3333333333,36792,126.666666666667,614519.666666667,545090.333333333,2475,0.112792004804652,0.0854121315405167,0.0504507286974358,19622.6666666667,12847,281.666666666667,275139,235201,1199.66666666667,735.686981477991,5558,3174,"ID",2646,11752030.64,1700,6396380.7,2750,9276176.06,NA,NA,NA,NA,NA,"Total",65248,264924694.58,"Idaho",16.43987,5.375,10.82102,1,TRUE,43084,0.163,41110,3124,81524,376.98,446.52,675,604,138,0,163086,34754,148798,34618,0.9385
"159",17,2003,5794,3759,3111,2208,34404,19003,7322,3655,7391,9675,443,1800,2869,5,2767,2403,5308,6157,270,1248,2217,2,1393,978,1558,2654,127,412,493,2,1098,8318,0,5273,711,6716,2130,5462,0,4511,0,3593,534,5024,1629,3712,0,2975,0,1329,118,1286,348,1266,0,10,12273190.6666667,8201042.66666667,1788198,3204328.66666667,578193.333333333,1864760.66666667,9068862,1210004.66666667,6336282,1432904,534805.333333333,484310.666666667,609802.333333333,220829.666666667,164866.333333333,518357.666666667,263757.333333333,151016.666666667,5873816,4197560.33333333,659622.333333333,0.13262786918691,0.0888670232474784,0.178168404191117,252706,77595.6666666667,116419.333333333,2131934,1462272.33333333,143378.666666667,948.298890354139,43418,36242,"IL",34365,174985051.4,16835,68650218.62,23179,102487015,NA,NA,NA,NA,NA,"Total",566471,2749816785.7,"Illinois",55.38861,28.276,32.22578,2,TRUE,227223,0.1,531529,98049,953929,483.12,446.52,762,552,1592,0.05,1797165,266975,1097467,219069,1.008
"160",18,2003,6084,5449,1936,3745,19745,4945,7929,0,1543,7213,382,1717,84,38,2652,0,822,2620,105,562,21,15,787,0,669,4185,261,1053,61,17,1665,6617,207,3184,452,1048,432,1721,0,2170,101,1454,143,373,142,562,0,4039,101,1573,292,619,272,1033,0,538,5980526.33333333,5117397,477293,1556165.66666667,152613.333333333,1265621.66666667,4424360.66666667,324679.666666667,3851775.33333333,646109.666666667,230123,111736.333333333,453133,52969,143612,213970.666666667,162287.333333333,34113.3333333333,2901694.66666667,2535341,202764.333333333,0.145125206213888,0.137202212932551,0.156161218972959,91002.3333333333,59594.3333333333,21308.6666666667,1039571,917312,39199.3333333333,777.516769775405,21345,15623,"IN",11602,51739276.46,6634,19695133.44,13239,41544629.5,NA,NA,NA,NA,NA,"Total",292399,1190732140.22,"Indiana",42.68985,57.14799,52.42299,1,TRUE,206472,0.108,226737,140302,470182,351.36,446.52,654,552,610,0,742272,124683,663592,133081,0.914
"161",19,2003,5736,5718,684,4090,16470,1316,7602,1484,40,4399,3761,734,174,142,0,213,7,576,406,56,34,24,0,955,29,3090,2755,586,107,80,0,4426,191,2154,292,14,53,3604,0,452,20,309,43,2,5,485,0,3281,145,1421,214,11,35,2495,0,281,2834647.66666667,2610927.33333333,58044,701108.666666667,22380,619552,2133539,35664,1991375.33333333,304839.666666667,96751.3333333333,21183.6666666667,253811.666666667,10886,73205.6666666667,81633.3333333333,71140.3333333333,3896,1460039.66666667,1365442.33333333,21587,0.0974913579170903,0.0879313069640262,0.172639470010682,32322,24179,2685.66666666667,499287.666666667,462997.666666667,5331.33333333333,675.951801842849,8546,6281,"IA",5280,24446279.48,3644,14812063.92,4230,17956837.18,NA,NA,NA,NA,NA,"Total",147354,674334837.06,"Iowa",41.53098,51.632,56.30506,0,FALSE,94977,0.113,107073,52170,153816,519.72,446.52,792,552,260,0.07,290964,64585,380864,71061,0.895166666666667
"162",20,2003,2677,2088,498,1851,10743,1722,5524,817,1218,3301,344,402,113,154,1674,191,234,788,85,87,18,42,265,568,865,2165,221,278,87,91,1220,3631,6,2425,8,526,330,1024,0,633,0,735,3,90,78,154,0,2576,5,1492,5,389,225,756,0,167,2629501.66666667,2165759,154772,678703,50835.6666666667,518080,1950798.66666667,103936.333333333,1647679,309134.666666667,105319.666666667,41642,204174,19114.6666666667,58836.6666666667,80553.6666666667,57753,7001,1337441.66666667,1135776.33333333,67938.3333333333,0.0973282706307907,0.0797358401509483,0.119151754308923,37338.3333333333,22491,5306,479287.333333333,392822,17658,737.610785935427,9168,4607,"KS",6024,26741732.66,3404,11773517.28,5938,19964874.22,NA,NA,NA,NA,NA,"Total",157233,615953060.76,"Kansas",30.67481,6.7,13.02975,1,TRUE,100531,0.135,96794,39745,160705,523.38,446.52,795,552,288,0.15,246324,61229,317481,77185,0.901333333333333
"163",21,2003,5476,4456,935,4171,17344,2283,8949,716,1821,6670,32,2511,88,1,29,183,283,1216,12,552,23,1,13,518,1432,5080,19,1821,63,0,16,5978,570,2737,556,775,50,1202,0,948,143,630,144,176,8,234,0,4674,407,2022,395,582,41,828,0,473,3977281,3548571,276854.333333333,970691,85572,835008,3006590,191282.333333333,2713563,656606.333333333,213806,77126.3333333333,537255,34820,163049.666666667,137167,111279,19742,1788292,1609049.66666667,116529.333333333,0.206751417573882,0.208166968086213,0.17465772960878,71234.3333333333,57759.6666666667,9753,642055.666666667,585490.333333333,28042.3333333333,640.483454296358,11660,9689,"KY",6802,28901269.3,7349,25658937.52,6767,20840146.14,NA,NA,NA,NA,NA,"Total",207943,757817647.32,"Kentucky",8.449893,9.908083,51.05207,0,TRUE,76075,0.134,128767,76963,502677,319.64,446.52,628,552,589,0,657597,113109,511470,194483,0.887833333333333
"164",22,2003,2809,2196,1593,1162,10216,4275,2992,133,1161,3719,500,1023,33,117,721,76,619,2181,319,603,21,74,382,55,527,1461,171,393,12,40,333,4536,172,1637,837,217,8,0,0,2562,110,975,502,124,2,0,0,1888,56,629,324,89,6,0,0,121,4347423.66666667,2717218.33333333,1398651.33333333,1190861.33333333,475084,649778.333333333,3156562.33333333,923567.333333333,2067440,866259.333333333,348685.666666667,500215,323602,234065.333333333,98949.3333333333,169476,75018,85471.3333333333,1894669.66666667,1274119.33333333,517634.666666667,0.187010608147609,0.15458466379654,0.252829659536093,136232.666666667,43567.3333333333,85961.6666666667,640991.666666667,464072.666666667,134900,693.222893745978,19498,15486,"LA",11830,41722185.86,5769,18945453.2,13390,45920138.76,NA,NA,NA,NA,NA,"Total",258175,911226372.86,"Louisiana",31.7429,37.8,43.59677,1,TRUE,210574,0.126,157682,57775,655300,292.8,446.52,606,552,750,0,903261,133403,626152,237832,0.9115
"165",23,2003,904,582,20,726,4597,99,3034,428,474,1642,205,190,108,62,323,14,8,58,4,2,2,1,6,339,378,1366,168,161,88,53,261,856,90,983,213,463,14,221,0,14,4,31,2,8,1,13,0,678,69,797,200,409,12,152,0,82,1260631.33333333,1215920,5166.66666666667,278505.666666667,2098,263109.666666667,982125.666666667,3068.66666666667,952810.333333333,138968.666666667,39671,1897.33333333333,128736.333333333,1108.66666666667,34883.3333333333,40607,38387.6666666667,307.666666666667,645075.333333333,627685,1378.66666666667,0.110110538425187,0.109072320919302,0.238605543751956,11974,11060.6666666667,30.6666666666667,190379.666666667,182405.666666667,1240.33333333333,759.333093097631,1974,960,"ME",2207,10238798.76,2335,8493846.18,1933,7725678.06,NA,NA,NA,NA,NA,"Total",65070,263314683.76,"Maine",65.44279,77.11123,70.21315,0,FALSE,33501,0.108,42113,26504,132582,591.7,446.52,851,562,149,0.05,240741,21743,103840,27707,0.977
"166",24,2003,3470,2227,2265,999,18053,10898,3187,452,4770,5206,1656,454,221,184,1424,308,4092,3737,1155,279,154,152,879,121,586,1258,441,160,56,30,468,5390,2126,2684,2507,1454,68,354,0,3663,1867,2114,2021,996,63,174,0,1463,224,498,442,404,4,152,0,378,5319212,3284259.66666667,1444574,1385172.66666667,432707.333333333,774041.333333333,3934039.33333333,1011866.66666667,2510218.33333333,444255.333333333,158707.333333333,206380,184469,88499.3333333333,50101,169267,69605,81379.6666666667,2680296.33333333,1710711.33333333,679971.333333333,0.115886629842051,0.0944893561893091,0.148541894725557,125241.333333333,37603.6666666667,71810.6666666667,889927.333333333,600593.333333333,164470.333333333,1035.79127472335,23768,10307,"MD",12215,71307611.64,9663,42469516.38,14816,64194388.22,NA,NA,NA,NA,NA,"Total",255121,1337313887.28,"Maryland",66.96189,97.5,85.30734,0,TRUE,248196,0.089,229974,61168,252294,577.06,446.52,839,552,472,0.5,676479,101283,435790,123835,1.1085
"167",25,2003,6507,5276,1345,3251,25254,4097,9359,788,2925,6845,1421,1631,758,632,3496,159,617,1604,339,337,210,153,607,374,1550,3142,771,929,398,254,1846,8998,0,3683,1997,2668,1048,337,0,1814,0,779,505,662,262,68,0,4648,0,1699,989,1361,556,104,0,188,6195282.66666667,5039072.66666667,356848.333333333,1450593,109151.666666667,1079511,4744689.66666667,247696.666666667,3959561.66666667,561348.333333333,181086,70795.3333333333,323006.666666667,28573.3333333333,77744,212668.666666667,149229.666666667,22978.6666666667,3142522,2640033,157949.666666667,0.103108579989821,0.0842287968440015,0.154384021912267,87100.6666666667,51761.3333333333,14074.6666666667,1000124,829127.333333333,41413.3333333333,1141.84380696698,9828,2299,"MA",19063,118306476.84,7935,41168307.08,9430,49477980.84,NA,NA,NA,NA,NA,"Total",289261,1515744003.96,"Massachusetts",76.60579,57.21632,67.44894,0,FALSE,193181,0.075,316377,109093,292200,753.96,446.52,949,681,652,0.15,939406,113957,541767,115936,1.07683333333333
"168",26,2003,9650,6345,4544,4532,40019,15977,12824,3246,8745,10220,85,4035,1019,517,2502,1647,4930,5246,37,2071,545,314,1187,1416,3376,4463,44,1751,435,176,1163,19768,1376,5039,2273,1619,294,0,0,9904,891,3059,1082,888,153,0,0,8760,436,1755,1089,662,122,0,0,935,9787721.66666667,7695191.66666667,1353757,2513136.66666667,430737.333333333,1816731.33333333,7274585,923019.666666667,5878460.33333333,1110533,409730.333333333,347708,641593,162535,190544.333333333,406501,276352.666666667,95078,4577552,3747063.66666667,523357.333333333,0.116996215661097,0.103057287356292,0.179859675609501,185184,83535.3333333333,75730,1656890.66666667,1381002.33333333,110756,828.215640102438,49358,13017,"MI",20017,112490158.56,11584,53641412.62,23690,108894461.1,NA,NA,NA,NA,NA,"Total",427380,2271853658.6,"Michigan",54.85245,13.37658,19.37972,0,FALSE,378725,0.122,378053,200557,837629,559.98,446.52,825,566,1125,0,1297794,216684,842678,216046,0.947833333333333
"169",27,2003,8080,6881,1966,4389,23045,3816,8001,969,2489,6243,1734,3333,30,165,1,352,750,1471,250,919,5,69,0,456,1140,3455,1136,1754,18,41,1,9664,472,2070,2070,289,32,357,0,2312,159,703,491,65,3,81,0,5259,190,994,1183,161,15,193,0,445,4879418,4270757.66666667,176396,1229729.66666667,67688.3333333333,997527.333333333,3649688.33333333,108707.666666667,3273230.33333333,404095,137215.333333333,58801.3333333333,267067.333333333,31635.3333333333,68910,141730,110304.333333333,12551.3333333333,2623368.66666667,2363621,72340.6666666667,0.0852944958931992,0.0721350536221141,0.148769702562016,42588,27320.3333333333,4298.66666666667,907520.666666667,780604.666666667,19602,905.782285787244,7569,5914,"MN",8227,48273687.12,11504,58430967.92,7991,38908950.04,NA,NA,NA,NA,NA,"Total",230975,1236603871.82,"Minnesota",53.01597,54.05782,53.71683,0,FALSE,165153,0.077,218597,94605,234631,649.04,446.52,889,633,376,0.33,561290,110117,577652,117540,0.974333333333333
"170",28,2003,1570,797,735,632,5816,2179,1741,55,631,1331,907,16,0,29,322,33,316,724,445,9,0,18,162,22,285,527,410,6,0,9,137,1927,229,1042,94,347,295,189,0,885,154,550,60,224,173,89,0,867,63,456,30,110,107,59,0,84,2774562,1676671,1017413.33333333,761671.666666667,345256.666666667,391826.333333333,2012890.33333333,672156.666666667,1284844.66666667,553562,219301,360582.333333333,175340.666666667,161236.666666667,50784.3333333333,123891.333333333,48228,71026,1212522,808023.666666667,369391.333333333,0.206624831225313,0.152716446161298,0.313437471435335,108531,31517.3333333333,73978.6666666667,395644.666666667,282266,99195,666.175823181664,15863,8537,"MS",6265,20594789.5,3181,8345818.7,5896,14637734.46,NA,NA,NA,NA,NA,"Total",171927,551071534.38,"Mississippi",36.00884,67.16666,70.00249,3,TRUE,92417,0.17,74156,45743,355783,207.4,446.52,536,552,456,0,602348,103244,395089,176453,0.864833333333333
"171",29,2003,6342,4896,1603,4477,24802,5818,12039,3421,3470,4225,147,2231,822,451,3693,1078,1383,1325,27,918,395,214,478,2200,2000,2754,114,1257,409,224,3081,10202,221,4393,307,1852,977,308,0,2596,88,1591,101,787,459,120,0,7246,123,2648,197,1028,499,179,0,977,5505280.66666667,4599097.33333333,613282,1400664.33333333,199971,1103883.33333333,4104616.33333333,413311,3495214,670133.666666667,243535.666666667,156655.333333333,460628.333333333,74951.6666666667,147235.333333333,170027.666666667,124769.666666667,33142.6666666667,2675295,2294537,251036.666666667,0.132094254556501,0.125249750482904,0.163420194340237,101481,59318,32671,922948.666666667,810708.333333333,54217.6666666667,763.265164433084,29864,18298,"MO",13299,56491371.66,9995,27412147.06,14405,39741506.1,NA,NA,NA,NA,NA,"Total",283223,1063790752.26,"Missouri",48.07904,28.72396,31.77267,3,TRUE,261657,0.12,206222,101893,591532,356.24,446.52,658,552,602,0,986646,129961,603434,177878,0.885166666666667
"172",30,2003,1175,800,33,654,4128,66,1694,104,931,1380,381,60,21,11,65,1,8,39,12,2,0,0,4,84,464,787,255,40,17,6,41,1385,203,589,304,85,77,307,0,34,8,13,5,1,0,5,0,726,86,358,199,71,47,204,0,80,885173,789906.666666667,2109.33333333333,216501.666666667,587.666666666667,180697.666666667,668671.333333333,1521.66666666667,609209,131189.333333333,44556,508.666666666667,99902.6666666667,222.333333333333,30136,26298,20071.6666666667,0,433884,400135.333333333,837.666666666667,0.0858357004315768,0.0779881146766188,0.160103909378831,12699.3333333333,7698.66666666667,0,149965.333333333,132182,82.6666666666667,653.578005514619,3053,1960,"MT",1528,6503977.38,1678,6325532.86,1634,5552555.5,NA,NA,NA,NA,NA,"Total",44494,178082441.08,"Montana",44.50462,14.18,21.00052,0,TRUE,23654,0.125,25991,17294,71320,618.54,446.52,871,552,139,0,82190,21320,77464,18130,0.943
"173",31,2003,2907,2505,343,1950,11202,1299,5468,381,1027,2593,903,673,168,188,2360,111,181,403,159,121,21,43,260,201,684,1709,572,431,126,85,1658,4579,0,802,369,653,633,252,0,604,0,199,81,68,92,44,0,3101,0,471,232,513,419,158,0,197,1676570.66666667,1450662.33333333,65103.6666666667,437137,22994.3333333333,354186,1239433.66666667,42109.3333333333,1096476.33333333,185914,61077,18628.6666666667,128969.333333333,8415.66666666667,36044,45213.6666666667,31613,5775,873235.333333333,777460.666666667,26642.3333333333,0.0888469042503063,0.0706836083404839,0.121611139589203,20587.6666666667,12208,2251.66666666667,321628.333333333,276499,9432,729.38187533211,4073,1980,"NE",3490,15533155.9,3400,10213692.38,3648,12265978.82,NA,NA,NA,NA,NA,"Total",98208,405511436.06,"Nebraska",25.28275,15.8375,25.65385,0,TRUE,68767,0.124,67449,26876,99243,444.08,446.52,730,563,168,0,195964,38286,222865,39787,0.9015
"174",32,2003,3202,2696,848,1619,9673,1691,3464,0,787,2321,151,2326,24,47,263,0,172,624,30,633,3,16,45,0,486,1225,100,1168,16,21,171,1537,274,1505,128,451,24,1,0,347,89,421,43,136,6,0,0,892,149,824,78,260,10,1,0,466,2139919.66666667,1369814,137474.666666667,567596,43362,303485.666666667,1572323.66666667,94112.6666666667,1066328.33333333,242024.666666667,93108.6666666667,29989.3333333333,116996.666666667,14875,33596.3333333333,76755,45515,7755,1013599,674157.666666667,58980,0.136722453153515,0.0740561592771138,0.0897678620929983,50123.6666666667,23287,4524.66666666667,369849,207483.666666667,16353.3333333333,1038.90539513674,10584,4865,"NV",4257,28898710.96,1796,7576165.84,5376,27921564.16,NA,NA,NA,NA,NA,"Total",80385,440337366.96,"Nevada",47.81092,36.82829,31.81988,4,TRUE,109942,0.105,90332,25256,111352,424.56,446.52,714,588,244,0,169689,44551,136856,40646,0.996833333333333
"175",33,2003,578,490,32,463,2408,109,1547,0,217,1106,437,54,7,9,0,0,11,68,28,0,0,2,0,0,185,930,373,47,7,5,0,763,36,255,308,0,78,390,0,48,2,9,16,0,5,29,0,636,27,222,273,0,70,319,0,12,1238041.66666667,1173518.66666667,10127.3333333333,301181.666666667,2657.33333333333,279889,936860,7470,893629.666666667,85386.6666666667,25690.3333333333,1802.66666666667,76497.6666666667,259.666666666667,22312,33475.6666666667,30561.6666666667,539.333333333333,667940.333333333,637925,5162.33333333333,0.0897935845096136,0.087349209343698,0.126314186343064,12573.6666666667,11675,228.666666666667,218501,205725,1544.66666666667,1014.35254312917,2427,1147,"NH",2593,14012064.78,3178,12796736.16,1926,7800024.86,NA,NA,NA,NA,NA,"Total",58454,259108866.74,"New Hampshire",41.94657,52.68903,42.36501,0,TRUE,20516,0.069,50262,14152,44783,762.5,446.52,954,579,73,0,100445,16701,109815,18650,1.06183333333333
"176",34,2003,6994,6779,3644,2115,25295,10901,4672,589,596,12526,1512,2409,266,0,0,378,382,7647,891,1151,159,0,0,125,147,3013,395,852,63,0,0,6948,1473,5769,1189,745,19,1529,0,3649,1039,3905,727,429,13,746,0,2085,260,1134,335,201,5,484,0,617,8376344,5457218.33333333,1110304.33333333,2058659.33333333,334478,1204342.33333333,6317684.66666667,775826.333333333,4252876,675206.333333333,240565,193521.666666667,246686.333333333,89816,61803.3333333333,311181.666666667,163638,67326.3333333333,4083413,2719193,499870,0.119319779538948,0.0872945809518912,0.151933287669108,165288.666666667,62983.3333333333,57544.6666666667,1442104.66666667,981047.333333333,116220.666666667,1152.33842656199,25718,14398,"NJ",24977,182189361.24,16332,76795470.54,16730,93519368.4,NA,NA,NA,NA,NA,"Total",446344,2548197889.9,"New Jersey",56.59727,79.15625,74.71236,0,TRUE,251837,0.095,403434,102564,339047,517.28,446.52,790,583,741,0.2,809080,136272,604595,91843,1.14
"177",35,2003,1941,1634,95,637,5489,232,1101,329,622,1892,282,149,88,31,155,34,20,132,14,10,7,2,13,83,163,654,82,55,24,7,33,1419,24,804,102,167,159,835,0,75,4,74,11,13,9,41,0,490,6,222,31,52,36,255,0,364,1818214.33333333,796107,31124,499114,8735.66666666667,162251.333333333,1319100.33333333,22388.3333333333,633855.666666667,343343.666666667,132568.333333333,9887.66666666667,83301.3333333333,4171,21432.6666666667,67096.6666666667,21300.3333333333,1170.33333333333,804316.333333333,387926.333333333,14081.3333333333,0.171503247477819,0.0638354452621384,0.138399174531719,45890,10026.3333333333,1210.33333333333,291797.666666667,115642.333333333,3639,705.240746006535,6223,4171,"NM",4134,17276467.58,2116,7447648.6,5601,19473006.82,NA,NA,NA,NA,NA,"Total",111147,408701110.2,"New Mexico",53.17726,50.06786,53.38786,0,TRUE,83132,0.183,63759,44081,194795,474.58,446.52,755,552,338,0,408806,62253,201272,92926,0.948
"178",36,2003,13598,11843,5723,3778,67570,24953,10826,9722,7454,20897,4292,9193,0,994,1415,4643,4228,9245,1992,3729,0,482,634,1451,454,4846,811,2900,0,78,283,23107,199,15903,0,6748,1237,6210,0,10607,108,7812,0,3284,575,2311,0,5331,36,2117,0,1024,269,1979,0,NA,18520420.6666667,11303971.3333333,2918350.33333333,4538202,856952.333333333,2445052.66666667,13982218.6666667,2061398,8858918.66666667,2518999.66666667,917751.666666667,627176,945718,265241.333333333,279595.666666667,669441.333333333,322585.333333333,161069,8563840.33333333,5539917.33333333,1199394,0.139256574295977,0.0928173172634388,0.166269767459779,386210,108473,143398.666666667,2803420,1882916.66666667,257882,1067.68916821622,65388,26955,"NY",70299,584954224.72,50468,248987826.04,58624,338850781.24,NA,NA,NA,NA,NA,"Total",1083851,6363007951.36,"New York",60.75396,33.98347,43.88507,1,TRUE,516781,0.119,902542,338668,1434936,703.94,446.52,920,639,2707,0.3,3723583,458177,1788136,459919,1.152
"179",37,2003,5461,3858,2173,2720,20062,6516,6855,1141,3301,5119,1076,1752,33,0,2179,512,1520,2367,497,828,17,0,775,558,1497,2273,525,828,15,0,1159,7740,1265,4126,0,307,1045,118,0,3119,707,1966,0,162,517,45,0,3880,490,1858,0,121,446,60,0,256,8047577.33333333,5601964,1700115.33333333,2064067.66666667,526868.666666667,1284790.33333333,5983509.66666667,1173246.66666667,4317173.66666667,1171456,431580,463027.333333333,549362.666666667,208524.666666667,156228.333333333,319922.666666667,175030.333333333,108862.666666667,3789714.66666667,2749470.33333333,702121.333333333,0.182347881471226,0.157056664751205,0.216583276293048,187758.666666667,78393,86386.6666666667,1279740.33333333,948058.333333333,173748.666666667,817.401438230655,33874,9609,"NC",18530,74626291.02,15763,52901408.2,23055,75538359.36,NA,NA,NA,NA,NA,"Total",427626,1744109369.68,"North Carolina",44.0265,76.88442,74.84284,6,TRUE,391976,0.153,313181,84214,649426,331.84,446.52,638,552,1289,0,1163739,211574,863716,307729,0.917
"180",38,2003,1050,908,55,686,3166,94,1331,162,305,914,129,590,0,0,0,11,8,42,3,29,0,0,0,124,193,542,90,369,0,0,0,1073,93,399,196,125,56,0,0,47,5,24,4,4,2,0,0,708,39,245,93,93,37,0,0,126,610091.333333333,557952,4257.66666666667,143842.666666667,1458,123824,466248.666666667,2799.66666666667,434128,75737.6666666667,21167.6666666667,1278.66666666667,58814.6666666667,695.666666666667,13317.3333333333,13486,10936,22,320504.333333333,300365,2080.33333333333,0.111073120747939,0.107532343160056,0.135146993080329,5042.33333333333,2499.33333333333,160.333333333333,106203.666666667,96784.3333333333,596,614.963580527614,1100,996,"ND",1091,4224503.76,1262,4102735.56,866,2781277.92,NA,NA,NA,NA,NA,"Total",33582,145557797.4,"North Dakota",60.04284,12.99187,39.80032,0,FALSE,12882,0.067,22583,8677,39663,581.94,446.52,843,552,61,0,57450,13969,77230,14769,0.897666666666667
"181",39,2003,13997,9698,5845,7526,47757,15761,16746,2711,7436,16626,1601,2939,338,884,874,1437,3744,7224,781,1299,220,515,368,1196,3374,8744,764,1563,102,347,496,12862,0,6116,2685,1539,0,10558,0,5600,0,3474,1406,806,0,4475,0,6719,0,2470,1202,697,0,5658,0,353,11101597.6666667,9319482.66666667,1254187.66666667,2801506,406193,2200756,8300091.66666667,847994.666666667,7118726.66666667,1333534.33333333,499142.666666667,338293,888200.666666667,157307.666666667,289191.333333333,407539,304198,79992.6666666667,5285178,4566952,502585.333333333,0.125137960249654,0.117684934582346,0.174826558713526,191386.333333333,126375.666666667,49572.3333333333,1784236,1564799.66666667,109313.666666667,781.085139834945,44350,26533,"OH",23839,124464748.92,26496,96739664.54,24664,104172882.98,NA,NA,NA,NA,NA,"Total",538562,2506268504.12,"Ohio",44.01768,10.09681,20.63007,7,TRUE,405227,0.129,426458,187557,855401,455.06,446.52,739,552,1226,0,1577331,256095,1028227,211637,0.896333333333333
"182",40,2003,6713,4713,1384,3877,21727,3348,8492,1646,3862,6424,1773,347,35,171,608,392,989,1260,429,91,8,42,111,998,2181,3477,1037,204,24,97,384,6959,37,3310,1198,429,470,232,0,1339,6,861,349,87,129,48,0,4062,8,1857,627,267,248,132,0,748,3374656.33333333,2484951.66666667,239817,872433,80933.3333333333,565616,2502223.33333333,158883.666666667,1919335.66666667,538782.333333333,196929,66565,323896.333333333,29619.3333333333,104480.333333333,101824.666666667,65407.6666666667,13071.6666666667,1540669.33333333,1179738,98359.3333333333,0.141195689764495,0.12235841914399,0.144405845843586,67510.3333333333,39653,9437,564167,395866.333333333,28878,730.106101868027,22688,8158,"OK",7306,30338090.14,6292,20041679.32,6685,22319332.7,NA,NA,NA,NA,NA,"Total",182680,659714892.64,"Oklahoma",31.3201,31.01648,34.23105,9,TRUE,168966,0.165,106473,36830,380299,356.24,446.52,658,605,440,0.05,510299,111688,382577,158675,0.8955
